"Year_of_Death","Month_of_Death","Month_Text","Deaths","Cancer_Deaths","Heart_Disease_Deaths","Pneumonia_and_Flu_Deaths","Stroke_Deaths","Covid19_Deaths","Septicemia_Deaths","COPD_Deaths"
"2009","03","March","7514","1696","2087","170","358","0","84","452"
"2009","04","April","6988","1582","1872","126","350","0","87","434"
"2009","05","May","7119","1632","1999","125","381","0","88","442"
"2009","06","June","6728","1653","1752","112","331","0","71","390"
"2009","07","July","6657","1626","1715","106","348","0","64","325"
"2009","08","August","6680","1750","1672","93","329","0","87","362"
"2009","09","September","6683","1640","1755","92","354","0","106","350"
"2009","10","October","7418","1732","1952","134","370","0","87","432"
"2009","11","November","7250","1693","1891","184","374","0","95","413"
"2009","12","December","7482","1707","2064","141","347","0","90","419"
"2010","01","January","7494","1688","1979","131","409","0","88","443"
"2010","02","February","6820","1504","1935","119","326","0","70","458"
"2010","03","March","7464","1711","2002","138","356","0","93","493"
"2010","04","April","7273","1738","1938","139","359","0","79","436"
"2010","05","May","7226","1723","1875","123","399","0","64","447"
"2010","06","June","6815","1643","1831","116","312","0","75","392"
"2010","07","July","7140","1736","1823","114","378","0","74","371"
"2010","08","August","7076","1728","1844","121","365","0","77","357"
"2010","09","September","6870","1672","1830","97","332","0","61","355"
"2010","10","October","7532","1728","1911","131","386","0","92","447"
"2010","11","November","7256","1716","1860","132","354","0","71","403"
"2010","12","December","7817","1778","2105","140","414","0","88","437"
"2011","01","January","7793","1723","2120","149","406","0","74","433"
"2011","02","February","7255","1523","1997","165","394","0","106","409"
"2011","03","March","7823","1668","2080","181","364","0","85","534"
"2011","04","April","7587","1661","1993","171","378","0","72","512"
"2011","05","May","7356","1679","1889","161","336","0","78","484"
"2011","06","June","7100","1695","1855","117","332","0","92","450"
"2011","07","July","7222","1727","1930","106","312","0","85","406"
"2011","08","August","7185","1735","1808","111","341","0","71","381"
"2011","09","September","7074","1734","1781","124","400","0","79","354"
"2011","10","October","7360","1730","1914","152","380","0","63","398"
"2011","11","November","7180","1611","1937","130","370","0","68","403"
"2011","12","December","7357","1673","1921","135","372","0","88","404"
"2012","01","January","7630","1687","2053","146","378","0","88","417"
"2012","02","February","7193","1581","1890","138","374","0","85","450"
"2012","03","March","8002","1783","2020","184","370","0","104","544"
"2012","04","April","7367","1576","1988","147","352","0","87","444"
"2012","05","May","7288","1665","1925","113","341","0","78","427"
"2012","06","June","7024","1642","1810","110","314","0","79","443"
"2012","07","July","7248","1709","1858","94","343","0","95","398"
"2012","08","August","7221","1766","1900","113","349","0","65","382"
"2012","09","September","7260","1786","1811","129","372","0","79","368"
"2012","10","October","7561","1744","1970","125","364","0","88","427"
"2012","11","November","7250","1665","1921","105","400","0","96","416"
"2012","12","December","7865","1688","2104","150","388","0","135","488"
"2013","01","January","9058","1774","2439","294","426","0","117","611"
"2013","02","February","7842","1577","2145","200","341","0","116","548"
"2013","03","March","8151","1670","2196","175","369","0","103","521"
"2013","04","April","7451","1685","1856","171","364","0","108","462"
"2013","05","May","7336","1699","1866","121","341","0","82","473"
"2013","06","June","6991","1649","1778","106","311","0","100","453"
"2013","07","July","7332","1739","1848","131","375","0","74","373"
"2013","08","August","7116","1655","1809","121","338","0","99","358"
"2013","09","September","7079","1707","1768","111","335","0","103","394"
"2013","10","October","7434","1685","1938","144","356","0","83","417"
"2013","11","November","7527","1674","1947","143","358","0","88","428"
"2013","12","December","8166","1706","2306","159","374","0","120","451"
"2014","01","January","8524","1710","2432","254","404","0","128","520"
"2014","02","February","7285","1603","1928","158","318","0","88","413"
"2014","03","March","7912","1831","2092","178","407","0","94","487"
"2014","04","April","7407","1670","1918","141","363","0","73","423"
"2014","05","May","7707","1782","2038","130","352","0","110","439"
"2014","06","June","7149","1667","1853","131","301","0","94","419"
"2014","07","July","7466","1732","1984","127","356","0","83","408"
"2014","08","August","7364","1742","1851","110","359","0","96","380"
"2014","09","September","7426","1727","1880","108","425","0","113","393"
"2014","10","October","7898","1850","2009","141","373","0","114","452"
"2014","11","November","7934","1731","2153","127","388","0","97","423"
"2014","12","December","8663","1869","2285","240","440","0","103","506"
"2015","01","January","9128","1786","2378","356","422","0","125","616"
"2015","02","February","7572","1567","2088","155","339","0","114","489"
"2015","03","March","8443","1720","2240","193","403","0","113","593"
"2015","04","April","7918","1613","2105","192","391","0","106","549"
"2015","05","May","7783","1700","1922","134","383","0","112","515"
"2015","06","June","7430","1690","1910","128","375","0","76","452"
"2015","07","July","7588","1740","1928","117","373","0","99","434"
"2015","08","August","7519","1779","1909","106","349","0","103","426"
"2015","09","September","7325","1704","1869","97","348","0","94","402"
"2015","10","October","7911","1815","2025","142","391","0","98","417"
"2015","11","November","7476","1662","1941","121","385","0","100","420"
"2015","12","December","7961","1734","2150","124","428","0","96","473"
